n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"P5,5",30.0,0.05,0.03333333333333333,1.5,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"H/D&P2,5",3.8640000000000003,0.35,0.25879917184265006,1.3524000000000003,2023-03-26,2023W12
10.0,2679399_1,2023-03-26 16:15:00,Ponferradina,Mirandes,"H/D&M1,5",3.3600000000000003,0.37727272727272726,0.2976190476190476,1.2676363636363637,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"H/A&M3,5",1.4909999999999999,0.8500000000000001,0.6706908115358821,1.26735,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"H/A&M1,5",3.129,0.4,0.31959092361776925,1.2516,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,D,2.75,0.45,0.36363636363636365,1.2375,2023-03-26,2023W12
10.0,2679403_1,2023-03-26 18:30:00,Grenade,Real Oviedo,H/D&LDEM,2.6460000000000004,0.4636363636363636,0.37792894935752075,1.2267818181818182,2023-03-26,2023W12
10.0,2679403_1,2023-03-26 18:30:00,Grenade,Real Oviedo,H,1.68,0.7181818181818183,0.5952380952380952,1.2065454545454546,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"H/D&M1,5",2.6774999999999998,0.44999999999999996,0.3734827264239029,1.204875,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"M0,5",5.95,0.2,0.1680672268907563,1.1900000000000002,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,H/D&LDEM,2.6145000000000005,0.44999999999999996,0.3824823101931535,1.176525,2023-03-26,2023W12
10.0,2679403_1,2023-03-26 18:30:00,Grenade,Real Oviedo,"H/A&M1,5",3.0975,0.37727272727272726,0.3228410008071025,1.1686022727272727,2023-03-26,2023W12
10.0,2679399_1,2023-03-26 16:15:00,Ponferradina,Mirandes,"P5,5",25.5,0.045454545454545456,0.0392156862745098,1.1590909090909092,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,H/A&LDEMP,1.7745,0.6499999999999999,0.5635390250774867,1.1534249999999997,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"H/A&M2,5",2.0895,0.55,0.4785833931562574,1.1492250000000002,2023-03-26,2023W12
10.0,2679399_1,2023-03-26 16:15:00,Ponferradina,Mirandes,"H/A&M1,5",3.4125,0.33636363636363636,0.29304029304029305,1.147840909090909,2023-03-26,2023W12
10.0,2679400_1,2023-03-26 18:30:00,Villarreal B,Huesca,"H/D&M3,5",1.512,0.7545454545454545,0.6613756613756614,1.1408727272727273,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"H/A&M4,5",1.3335000000000001,0.8500000000000001,0.7499062617172852,1.1334750000000002,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"H/D&P1,5",2.058,0.55,0.4859086491739553,1.1319000000000001,2023-03-26,2023W12
10.0,2679400_1,2023-03-26 18:30:00,Villarreal B,Huesca,"H/D&M4,5",1.3125,0.85,0.7619047619047619,1.115625,2023-03-26,2023W12
10.0,2679403_1,2023-03-26 18:30:00,Grenade,Real Oviedo,"H/D&M4,5",1.2075,0.9090909090909092,0.8281573498964803,1.0977272727272729,2023-03-26,2023W12
10.0,2679400_1,2023-03-26 18:30:00,Villarreal B,Huesca,"H/D&M1,5",3.2550000000000003,0.33636363636363636,0.3072196620583717,1.0948636363636366,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"H/A&P2,5",2.7300000000000004,0.4,0.3663003663003662,1.0920000000000003,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,H,1.68,0.6499999999999999,0.5952380952380952,1.0919999999999999,2023-03-26,2023W12
10.0,2679403_1,2023-03-26 18:30:00,Grenade,Real Oviedo,"H/A&M2,5",2.0685000000000002,0.5272727272727272,0.48344210780759,1.0906636363636364,2023-03-26,2023W12
10.0,2679398_1,2023-03-26 14:00:00,Eibar,FC Andorre,"M3,5",1.09,1.0,0.9174311926605504,1.09,2023-03-26,2023W12
10.0,2679400_1,2023-03-26 18:30:00,Villarreal B,Huesca,D,2.9,0.3727272727272727,0.3448275862068966,1.0809090909090908,2023-03-26,2023W12
10.0,2679404_1,2023-03-26 16:15:00,Real Zaragoza,Albacete,"P4,5",10.8,0.1,0.09259259259259259,1.08,2023-03-26,2023W12
