n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,A,13.0,0.29625,0.07692307692307693,3.85125,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A&LDEMP,17.325,0.19437500000000002,0.05772005772005772,3.3675468750000004,2026-02-21,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,"P5,5",15.5,0.18250000000000002,0.06451612903225806,2.8287500000000003,2026-02-22,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M3,5",7.875,0.34125000000000005,0.12698412698412698,2.6873437500000006,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M2,5",8.715000000000002,0.306875,0.11474469305794605,2.674415625000001,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M4,5",6.09,0.41000000000000003,0.16420361247947454,2.4969,2026-02-21,2026W8
10,3369060_1,2026-02-21 19:00:00,Toulouse,Paris FC,"P5,5",21.0,0.11833333333333335,0.047619047619047616,2.4850000000000003,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A,5.25,0.444375,0.19047619047619047,2.33296875,2026-02-21,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,H,4.1,0.5458333333333334,0.24390243902439027,2.2379166666666666,2026-02-22,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,"H/D&P4,5",20.16,0.0925,0.0496031746031746,1.8648,2026-02-22,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,H/D&LDEMP,4.011,0.45500000000000007,0.2493143854400399,1.8250050000000002,2026-02-22,2026W8
10,3369062_1,2026-02-21 17:00:00,Lens,Monaco,"H/D&M1,5",6.195,0.2935714285714286,0.16142050040355124,1.8186750000000003,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M1,5",15.959999999999999,0.11375000000000002,0.06265664160401004,1.81545,2026-02-21,2026W8
10,3369063_1,2026-02-20 20:45:00,Brest,Marseille,H/D&LDEMP,4.515,0.3875,0.221483942414175,1.7495625,2026-02-20,2026W8
10,3372353_1,2026-02-20 20:00:00,Boulogne,Clermont,"P5,5",18.2,0.09590909090909092,0.054945054945054944,1.7455454545454547,2026-02-20,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A&LDEM,6.772500000000001,0.25125000000000003,0.14765596160944996,1.7015906250000004,2026-02-21,2026W8
10,3369063_1,2026-02-20 20:45:00,Brest,Marseille,H,3.65,0.4625,0.273972602739726,1.688125,2026-02-20,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&P1,5",5.0925,0.33062500000000006,0.19636720667648502,1.6837078125000002,2026-02-21,2026W8
10,3369058_1,2026-02-22 15:00:00,Auxerre,Rennes,"D/A&M1,5",4.7775,0.35000000000000003,0.20931449502878074,1.672125,2026-02-22,2026W8
10,3372449_1,2026-02-20 20:00:00,Rodez,Montpellier,"H/A&M1,5",4.515,0.36500000000000005,0.221483942414175,1.6479750000000002,2026-02-20,2026W8
10,3369064_1,2026-02-22 17:15:00,Nantes,Le Havre,A,2.95,0.5486363636363636,0.3389830508474576,1.6184772727272727,2026-02-22,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&P3,5",15.540000000000001,0.10312500000000001,0.06435006435006435,1.6025625000000001,2026-02-21,2026W8
10,3369064_1,2026-02-22 17:15:00,Nantes,Le Havre,"D/A&P4,5",14.490000000000002,0.11000000000000001,0.06901311249137335,1.5939000000000005,2026-02-22,2026W8
10,3369058_1,2026-02-22 15:00:00,Auxerre,Rennes,"H/D&P3,5",4.8825,0.32,0.20481310803891448,1.5624000000000002,2026-02-22,2026W8
10,3372353_1,2026-02-20 20:00:00,Boulogne,Clermont,"D/A&P2,5",3.57,0.4259090909090909,0.2801120448179272,1.5204954545454545,2026-02-20,2026W8
10,3369066_1,2026-02-22 20:45:00,Strasbourg,Lyon,"D/A&M1,5",5.407500000000001,0.2807142857142857,0.18492834026814609,1.5179624999999999,2026-02-22,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,"H/A&P4,5",6.5625,0.22750000000000004,0.1523809523809524,1.4929687500000002,2026-02-22,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,"P4,5",6.35,0.22750000000000004,0.15748031496062992,1.4446250000000003,2026-02-22,2026W8
10,3369062_1,2026-02-21 17:00:00,Lens,Monaco,H,1.85,0.775,0.5405405405405405,1.4337500000000003,2026-02-21,2026W8
10,3369818_1,2026-02-16 20:45:00,Bastia,Troyes,A,2.9,0.49363636363636365,0.3448275862068966,1.4315454545454545,2026-02-16,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&P2,5",10.395000000000001,0.1375,0.09620009620009619,1.4293125000000002,2026-02-21,2026W8
10,3369064_1,2026-02-22 17:15:00,Nantes,Le Havre,"D/A&P1,5",2.1630000000000003,0.6586363636363637,0.46232085067036516,1.424630454545455,2026-02-22,2026W8
