IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,n,DateD,Week
2662014_1,2023-03-11 16:00:00,Reading,Millwall,"H/D&M4,5",1.5855000000000001,0.7156862745098038,0.630715862503942,1.134720588235294,34.0,2023-03-11,2023W10
2660435_1,2023-03-11 16:30:00,Paços de Ferreira,Santa Clara,"H/A&M3,5",1.6275000000000002,0.696969696969697,0.6144393241167434,1.134318181818182,24.0,2023-03-11,2023W10
2689056_1,2023-03-11 20:45:00,RFC Seraing,Antwerp,"D/A&M2,5",1.9845,0.5714285714285714,0.5039052658100277,1.134,28.0,2023-03-11,2023W10
2634441_1,2023-03-11 15:30:00,Eintracht Frankfurt,Stuttgart,H,1.78,0.6363636363636364,0.5617977528089888,1.1327272727272726,22.0,2023-03-11,2023W10
2662014_1,2023-03-11 16:00:00,Reading,Millwall,"H/A&M3,5",1.5855000000000001,0.7140522875816994,0.630715862503942,1.1321299019607844,34.0,2023-03-11,2023W10
2662014_1,2023-03-11 16:00:00,Reading,Millwall,H/D,1.58,0.7156862745098038,0.6329113924050632,1.1307843137254903,34.0,2023-03-11,2023W10
2692953_1,2023-03-11 16:30:00,FC Arges,Petrolul Ploiesti,H,2.26,0.5,0.4424778761061947,1.13,28.0,2023-03-11,2023W10
2660435_1,2023-03-11 16:30:00,Paços de Ferreira,Santa Clara,"H/A&M4,5",1.4385000000000001,0.7840909090909092,0.6951685783802571,1.127914772727273,24.0,2023-03-11,2023W10
2660431_1,2023-03-11 19:00:00,Guimaraes,Arouca,"H/D&M2,5",1.9845,0.5681818181818181,0.5039052658100277,1.127556818181818,24.0,2023-03-11,2023W10
2662023_1,2023-03-11 16:00:00,Birmingham C.,Rotherham United,"D/A&M3,5",2.0265,0.5555555555555556,0.4934616333580064,1.1258333333333335,36.0,2023-03-11,2023W10
2662027_1,2023-03-11 16:00:00,Sheffield United,Luton Town,H/A&LDEMP,2.0055,0.5588235294117647,0.4986287708800798,1.1207205882352942,34.0,2023-03-11,2023W10
2669497_1,2023-03-11 07:00:00,Central Coast Mariners,Macarthur FC,"P2,5",1.43,0.7833333333333333,0.6993006993006994,1.1201666666666665,20.0,2023-03-11,2023W10
2634449_1,2023-03-11 15:30:00,Bayern Munich,Augsbourg,"M4,5",1.54,0.7272727272727273,0.6493506493506493,1.12,22.0,2023-03-11,2023W10
2701876_1,2023-03-11 18:30:00,Maccabi Netanya,Moadon Sport Ashdod,"M3,5",1.22,0.9166666666666666,0.819672131147541,1.1183333333333332,24.0,2023-03-11,2023W10
2634442_1,2023-03-11 15:30:00,RB Leipzig,Borussia Monchengladbach,LDEM,1.64,0.6818181818181819,0.6097560975609756,1.1181818181818184,22.0,2023-03-11,2023W10
2660434_1,2023-03-11 21:30:00,Vizela,Braga,H/A,1.23,0.9090909090909092,0.8130081300813008,1.1181818181818184,22.0,2023-03-11,2023W10
2689056_1,2023-03-11 20:45:00,RFC Seraing,Antwerp,"M3,5",1.25,0.8928571428571428,0.8,1.1160714285714284,28.0,2023-03-11,2023W10
2662029_1,2023-03-11 16:00:00,Swansea,Middlesbrough,"H/A&M4,5",1.4489999999999998,0.7696078431372549,0.6901311249137336,1.1151617647058825,34.0,2023-03-11,2023W10
2689051_1,2023-03-11 18:15:00,KVC Westerlo,KV Kortrijk,"P3,5",2.23,0.5,0.4484304932735426,1.115,28.0,2023-03-11,2023W10
2634382_1,2023-03-11 16:00:00,Leicester,Chelsea,LDEMP,1.85,0.6025641025641025,0.5405405405405405,1.1147435897435898,24.0,2023-03-11,2023W10
2664526_1,2023-03-11 21:00:00,Sp. Rotterdam,Vitesse,"P2,5",1.91,0.5833333333333334,0.5235602094240838,1.1141666666666667,24.0,2023-03-11,2023W10
2654666_1,2023-03-11 20:30:00,FC Lugano,FC Zürich,D/A&LDEM,2.2260000000000004,0.5,0.44923629829290196,1.1130000000000002,22.0,2023-03-11,2023W10
2634445_1,2023-03-11 18:30:00,Schalke 04,Dortmund,"H/A&P1,5",1.4805,0.75,0.6754474839581223,1.110375,24.0,2023-03-11,2023W10
2692953_1,2023-03-11 16:30:00,FC Arges,Petrolul Ploiesti,H/A&LDEMP,1.9425000000000001,0.5714285714285714,0.5148005148005148,1.1099999999999999,28.0,2023-03-11,2023W10
2701876_1,2023-03-11 18:30:00,Maccabi Netanya,Moadon Sport Ashdod,"H/D&M3,5",1.7745,0.625,0.5635390250774867,1.1090624999999998,24.0,2023-03-11,2023W10
2662048_1,2023-03-11 14:00:00,Real Madrid,Espanyol,"M4,5",1.16,0.9545454545454546,0.8620689655172414,1.1072727272727272,22.0,2023-03-11,2023W10
2692953_1,2023-03-11 16:30:00,FC Arges,Petrolul Ploiesti,H/A,1.29,0.8571428571428572,0.7751937984496123,1.1057142857142859,28.0,2023-03-11,2023W10
2692953_1,2023-03-11 16:30:00,FC Arges,Petrolul Ploiesti,"H/A&P1,5",1.9320000000000002,0.5714285714285714,0.5175983436853001,1.104,28.0,2023-03-11,2023W10
2634442_1,2023-03-11 15:30:00,RB Leipzig,Borussia Monchengladbach,"H/D&M4,5",1.4280000000000002,0.7727272727272727,0.7002801120448179,1.1034545454545455,22.0,2023-03-11,2023W10
2692953_1,2023-03-11 16:30:00,FC Arges,Petrolul Ploiesti,"H/A&M2,5",2.205,0.5,0.4535147392290249,1.1025,28.0,2023-03-11,2023W10
