n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/D&M1,5",5.670000000000001,0.25,0.17636684303350966,1.4175000000000002,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M0,5",12.8,0.1,0.078125,1.28,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/A&M1,5",4.9875,0.25,0.2005012531328321,1.246875,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,H,2.68,0.45,0.3731343283582089,1.2060000000000002,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M1,5",3.42,0.35,0.29239766081871343,1.197,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/D&M3,5",2.1315,0.55,0.46915317851278443,1.172325,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/D&M4,5",1.6695000000000002,0.7,0.5989817310572026,1.1686500000000002,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,H/D&LDEMP,3.8325,0.30000000000000004,0.2609262883235486,1.1497500000000003,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,H/D,1.49,0.75,0.6711409395973155,1.1175,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/D&M2,5",2.7300000000000004,0.4,0.3663003663003662,1.0920000000000003,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M3,5",1.35,0.8,0.7407407407407407,1.08,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"D/A&M1,5",5.3549999999999995,0.2,0.18674136321195145,1.071,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M4,5",1.11,0.95,0.9009009009009008,1.0545,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M2,5",1.88,0.55,0.5319148936170213,1.034,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"M5,5",1.03,1.0,0.970873786407767,1.03,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/A&M3,5",1.8690000000000002,0.55,0.5350454788657035,1.0279500000000001,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"D/A&M2,5",2.562,0.4,0.39032006245121004,1.0248,2023-04-24,2023W17
10.0,2634351_1,2023-04-24 11:00:00,Brisbane Roar,Sydney FC,"H/A&M4,5",1.554,0.6499999999999999,0.6435006435006435,1.0100999999999998,2023-04-24,2023W17
