n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2797804_1,2023-05-20 20:45:00,Milan AC,Sampdoria,"D/A&P4,5",73.5,0.05,0.013605442176870748,3.6750000000000003,2023-05-20,2023W20
10.0,2797804_1,2023-05-20 20:45:00,Milan AC,Sampdoria,"D/A&P3,5",22.575,0.15000000000000002,0.044296788482835,3.3862500000000004,2023-05-20,2023W20
10.0,2797804_1,2023-05-20 20:45:00,Milan AC,Sampdoria,"D/A&P2,5",14.700000000000001,0.2,0.06802721088435373,2.9400000000000004,2023-05-20,2023W20
10.0,2783904_1,2023-05-20 19:00:00,Boavista,Braga,"H/D&P4,5",18.375,0.15000000000000002,0.05442176870748299,2.7562500000000005,2023-05-20,2023W20
10.0,2687305_1,2023-05-20 16:15:00,Athletic Club,Celta Vigo,"D/A&P4,5",25.200000000000003,0.1,0.03968253968253968,2.5200000000000005,2023-05-20,2023W20
10.0,2797804_1,2023-05-20 20:45:00,Milan AC,Sampdoria,D/A&LDEM,7.035,0.35,0.1421464108031272,2.46225,2023-05-20,2023W20
10.0,2818237_1,2023-05-20 19:30:00,Maccabi Haifa,Hapoel Jerusalem,"M0,5",17.2,0.14090909090909093,0.05813953488372093,2.423636363636364,2023-05-20,2023W20
10.0,2818237_1,2023-05-20 19:30:00,Maccabi Haifa,Hapoel Jerusalem,D/A&LDEMP,8.715000000000002,0.2772727272727273,0.11474469305794605,2.416431818181819,2023-05-20,2023W20
10.0,2801370_1,2023-05-20 16:00:00,Bournemouth,Manchester United,"H/D&P4,5",15.959999999999999,0.15000000000000002,0.06265664160401004,2.394,2023-05-20,2023W20
10.0,2687318_1,2023-05-20 18:30:00,Lugo,Huesca,"M0,5",6.7,0.35,0.14925373134328357,2.345,2023-05-20,2023W20
10.0,2783953_1,2023-05-20 19:00:00,Nimes,Dijon,"H/D&P4,5",15.540000000000001,0.15,0.06435006435006435,2.331,2023-05-20,2023W20
