IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2675071_1,2023-02-26 19:15:00,Hapoel Jerusalem,Hapoel Haifa,D/A,1.512,0.75,0.6613756613756614,0.0886243386243386,2023-02-26
2634439_1,2023-02-26 15:30:00,Fribourg,Bayer Leverkusen,"H/A&P1,5",1.6275000000000002,0.7,0.6144393241167434,0.08556067588325655,2023-02-26
2673408_1,2023-02-26 14:30:00,FC Emmen,Go Ahead Eagles,H/D,1.3965,0.8,0.7160759040458288,0.08392409595417127,2023-02-26
2652892_1,2023-02-26 16:45:00,Voluntari,Universitatea Craiova,"D/A&M3,5",1.4909999999999999,0.75,0.6706908115358821,0.07930918846411794,2023-02-26
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/D&M3,5",1.3860000000000001,0.8,0.7215007215007214,0.07849927849927862,2023-02-26
2648406_1,2023-02-26 18:30:00,Las Palmas,Ponferradina,"H/D&M3,5",1.3860000000000001,0.8,0.7215007215007214,0.07849927849927862,2023-02-26
2632150_1,2023-02-26 16:30:00,FC Lugano,FC Basel,"H/D&M4,5",1.6065,0.7,0.6224712107065048,0.07752878929349516,2023-02-26
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/A&P1,5",1.6065,0.7,0.6224712107065048,0.07752878929349516,2023-02-26
2659572_1,2023-02-26 13:30:00,Hanovre,Magdeburg,H/A,1.2915,0.8500000000000001,0.7742934572202864,0.07570654277971367,2023-02-26
2632091_1,2023-02-26 14:30:00,SCR Altach,WSG Swarovski Tirol,"H/A&P1,5",1.5435,0.7222222222222222,0.647878198898607,0.07434402332361523,2023-02-26
2668703_1,2023-02-26 21:30:00,FC Porto,Gil Vicente,"H/A&M4,5",1.47,0.75,0.6802721088435374,0.0697278911564626,2023-02-26
2648417_1,2023-02-26 14:00:00,UD Ibiza,Huesca,"H/D&M3,5",1.47,0.75,0.6802721088435374,0.0697278911564626,2023-02-26
2662583_1,2023-02-26 15:00:00,Levadiakos,Panetolikos,D/A,1.5855000000000001,0.7,0.630715862503942,0.069284137496058,2023-02-26
2634416_1,2023-02-26 13:00:00,Lorient,Auxerre,H/D,1.3650000000000002,0.8,0.7326007326007324,0.0673992673992676,2023-02-26
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/D&P1,5",1.4595,0.75,0.6851661527920521,0.06483384720794794,2023-02-26
2634435_1,2023-02-26 15:00:00,Clermont,Strasbourg,H/A,1.3545,0.8,0.7382798080472499,0.061720191952750136,2023-02-26
2653480_1,2023-02-26 14:00:00,Umraniyespor,Adana Demirspor,D/A,1.3545,0.8,0.7382798080472499,0.061720191952750136,2023-02-26
2659574_1,2023-02-26 13:30:00,Arminia Bielefeld,Heidenheim,H/A,1.3545,0.8,0.7382798080472499,0.061720191952750136,2023-02-26
2649201_1,2023-02-26 16:15:00,Ascoli,Benevento,D/A,1.554,0.7,0.6435006435006435,0.056499356499356446,2023-02-26
2648415_1,2023-02-26 16:15:00,Levante,Lugo,"H/D&M3,5",1.344,0.8,0.744047619047619,0.05595238095238109,2023-02-26
2634365_1,2023-02-26 14:30:00,Tottenham,Chelsea,H/A,1.344,0.8,0.744047619047619,0.05595238095238109,2023-02-26
2662660_1,2023-02-26 13:30:00,Club Brugge,KAA Gent,H/D,1.344,0.8,0.744047619047619,0.05595238095238109,2023-02-26
2648417_1,2023-02-26 14:00:00,UD Ibiza,Huesca,H/D,1.344,0.8,0.744047619047619,0.05595238095238109,2023-02-26
2634365_1,2023-02-26 14:30:00,Tottenham,Chelsea,H/D,1.4385000000000001,0.75,0.6951685783802571,0.05483142161974286,2023-02-26
2632093_1,2023-02-26 14:30:00,Wolfsberger,Rapid Vienna,H/A,1.281,0.8333333333333333,0.7806401249024201,0.052693208430913185,2023-02-26
2632093_1,2023-02-26 14:30:00,Wolfsberger,Rapid Vienna,D/A,1.3755000000000002,0.7777777777777777,0.7270083605961468,0.05076941718163086,2023-02-26
