n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,A,13.0,0.34875,0.07692307692307693,4.5337499999999995,2026-02-21,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,"P5,5",15.5,0.22749999999999998,0.06451612903225806,3.5262499999999997,2026-02-22,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A&LDEMP,17.325,0.198125,0.05772005772005772,3.4325156249999997,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M3,5",7.875,0.36374999999999996,0.12698412698412698,2.8645312499999998,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M4,5",6.09,0.47,0.16420361247947454,2.8623,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A,5.25,0.523125,0.19047619047619047,2.7464062499999997,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&M2,5",8.715000000000002,0.310625,0.11474469305794605,2.7070968750000004,2026-02-21,2026W8
10,3369060_1,2026-02-21 19:00:00,Toulouse,Paris FC,"P5,5",21.0,0.12833333333333333,0.047619047619047616,2.695,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&P3,5",15.540000000000001,0.159375,0.06435006435006435,2.4766874999999997,2026-02-21,2026W8
10,3369064_1,2026-02-22 17:15:00,Nantes,Le Havre,"D/A&P4,5",14.490000000000002,0.17,0.06901311249137335,2.4633000000000007,2026-02-22,2026W8
10,3369061_1,2026-02-22 17:15:00,Angers,Lille,H,4.1,0.5708333333333333,0.24390243902439027,2.340416666666666,2026-02-22,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,D/A&LDEM,6.772500000000001,0.33375,0.14765596160944996,2.2603218750000003,2026-02-21,2026W8
10,3369059_1,2026-02-21 21:05:00,Paris SG,Metz,"D/A&P2,5",10.395000000000001,0.2125,0.09620009620009619,2.2089375,2026-02-21,2026W8
10,3369063_1,2026-02-20 20:45:00,Brest,Marseille,"M0,5",12.8,0.17,0.078125,2.176,2026-02-20,2026W8
10,3372353_1,2026-02-20 20:00:00,Boulogne,Clermont,"D/A&P2,5",3.57,0.6086363636363636,0.2801120448179272,2.1728318181818183,2026-02-20,2026W8
