n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2703029_1,2023-04-01 20:45:00,Juventus,Hellas Verone,"P5,5",18.2,0.15,0.054945054945054944,2.73,2023-04-01,2023W13
10.0,2713438_1,2023-04-02 15:00:00,Nantes,Reims,"M0,5",9.0,0.30000000000000004,0.1111111111111111,2.7000000000000006,2023-04-02,2023W13
10.0,2691601_1,2023-04-01 16:15:00,Athletic Club,Getafe,"D/A&P4,5",52.5,0.05,0.01904761904761905,2.625,2023-04-01,2023W13
10.0,2703029_1,2023-04-01 20:45:00,Juventus,Hellas Verone,"D/A&P4,5",52.5,0.05,0.01904761904761905,2.625,2023-04-01,2023W13
10.0,2703039_1,2023-04-02 18:00:00,AS Rome,Sampdoria,"D/A&P4,5",52.5,0.05,0.01904761904761905,2.625,2023-04-02,2023W13
10.0,2713432_1,2023-04-02 17:05:00,Monaco,Strasbourg,"D/A&P4,5",25.725,0.1,0.038872691933916424,2.5725000000000002,2023-04-02,2023W13
10.0,2717835_1,2023-04-01 03:05:00,Necaxa,Santos,"P5,5",12.8,0.2,0.078125,2.56,2023-04-01,2023W13
10.0,2713299_1,2023-04-01 17:00:00,Auxerre,Troyes,"D/A&P4,5",16.8,0.15000000000000002,0.05952380952380952,2.5200000000000005,2023-04-01,2023W13
10.0,2691595_1,2023-03-31 21:00:00,Majorque,Osasuna,"P5,5",50.0,0.05,0.02,2.5,2023-03-31,2023W13
10.0,2647390_1,2023-04-01 16:00:00,Coventry City,Stoke City,"P5,5",16.5,0.15000000000000002,0.06060606060606061,2.475,2023-04-01,2023W13
10.0,2691597_1,2023-04-01 21:00:00,Elche,Barcelona,"H/A&M1,5",4.9350000000000005,0.5,0.20263424518743667,2.4675000000000002,2023-04-01,2023W13
10.0,2713422_1,2023-03-31 21:00:00,Marseille,Montpellier,A,5.95,0.4,0.1680672268907563,2.3800000000000003,2023-03-31,2023W13
10.0,2703461_1,2023-04-02 21:00:00,Atletico Madrid,Real Betis,"D/A&P4,5",24.150000000000002,0.09090909090909091,0.041407867494824016,2.1954545454545453,2023-04-02,2023W13
10.0,2647385_1,2023-04-01 18:30:00,Chelsea,Aston Villa,D/A&LDEMP,5.460000000000001,0.4,0.1831501831501831,2.1840000000000006,2023-04-01,2023W13
10.0,2713299_1,2023-04-01 17:00:00,Auxerre,Troyes,"H/A&P4,5",6.1425,0.35,0.1628001628001628,2.1498749999999998,2023-04-01,2023W13
10.0,2647390_1,2023-04-01 16:00:00,Coventry City,Stoke City,"D/A&P4,5",14.175,0.15000000000000002,0.07054673721340388,2.1262500000000006,2023-04-01,2023W13
10.0,2691594_1,2023-04-02 16:15:00,Real Madrid,Valladolid,"D/A&P4,5",42.0,0.05,0.023809523809523808,2.1,2023-04-02,2023W13
10.0,2691597_1,2023-04-01 21:00:00,Elche,Barcelona,"D/A&M1,5",4.5675,0.44999999999999996,0.21893814997263272,2.0553749999999997,2023-04-01,2023W13
10.0,2713299_1,2023-04-01 17:00:00,Auxerre,Troyes,"P4,5",5.8,0.35,0.1724137931034483,2.03,2023-04-01,2023W13
10.0,2717835_1,2023-04-01 03:05:00,Necaxa,Santos,"H/D&P4,5",10.1325,0.2,0.09869232667160129,2.0265,2023-04-01,2023W13
