IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2663781_1,2023-02-24 21:15:00,FC Famalicao,Portimonense,"H/A&M4,5",1.4280000000000002,0.9,0.7002801120448179,0.19971988795518214,2023-02-24
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,"H/D&M4,5",1.3125,0.95,0.7619047619047619,0.1880952380952381,2023-02-24
2663781_1,2023-02-24 21:15:00,FC Famalicao,Portimonense,H/A,1.3125,0.95,0.7619047619047619,0.1880952380952381,2023-02-24
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,H/D,1.26,0.95,0.7936507936507936,0.15634920634920635,2023-02-24
2659571_1,2023-02-24 18:30:00,Karlsruhe,Jahn Regensburg,H/A,1.3125,0.9,0.7619047619047619,0.13809523809523816,2023-02-24
2648409_1,2023-02-24 21:00:00,Eibar,Villarreal B,"H/A&M3,5",1.533,0.8500000000000001,0.6523157208088716,0.19768427919112852,2023-02-24
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,"H/D&M3,5",1.533,0.8,0.6523157208088716,0.14768427919112848,2023-02-24
2663781_1,2023-02-24 21:15:00,FC Famalicao,Portimonense,"H/A&M3,5",1.6485,0.75,0.6066120715802245,0.14338792841977555,2023-02-24
2648411_1,2023-02-24 21:00:00,Elche,Real Betis,"D/A&M3,5",1.6170000000000002,0.75,0.6184291898577612,0.13157081014223881,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/D&M3,5",1.722,0.7,0.5807200929152149,0.11927990708478509,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/A&M3,5",1.7115,0.7,0.5842827928717499,0.11571720712825007,2023-02-24
2648409_1,2023-02-24 21:00:00,Eibar,Villarreal B,"H/A&M4,5",1.3335000000000001,0.8500000000000001,0.7499062617172852,0.10009373828271484,2023-02-24
2659573_1,2023-02-24 18:30:00,Dusseldorf,Braunschweig,"H/D&P1,5",1.4175000000000002,0.8,0.7054673721340387,0.0945326278659614,2023-02-24
2670306_1,2023-02-24 20:00:00,Sp. Rotterdam,FC Utrecht,H/D,1.5225,0.75,0.6568144499178982,0.09318555008210183,2023-02-24
2648409_1,2023-02-24 21:00:00,Eibar,Villarreal B,H/A,1.302,0.8500000000000001,0.7680491551459293,0.08195084485407078,2023-02-24
2662572_1,2023-02-24 19:00:00,Volos NFC,Lamia,"H/A&P1,5",1.6170000000000002,0.7,0.6184291898577612,0.08157081014223877,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,H/D,1.3860000000000001,0.8,0.7215007215007214,0.07849927849927862,2023-02-24
2659571_1,2023-02-24 18:30:00,Karlsruhe,Jahn Regensburg,"H/A&M4,5",1.4595,0.75,0.6851661527920521,0.06483384720794794,2023-02-24
2670306_1,2023-02-24 20:00:00,Sp. Rotterdam,FC Utrecht,H/A,1.3545,0.8,0.7382798080472499,0.061720191952750136,2023-02-24
2659744_1,2023-02-24 20:30:00,Mainz,Borussia Monchengladbach,H/D,1.3545,0.8,0.7382798080472499,0.061720191952750136,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/D&M4,5",1.4489999999999998,0.75,0.6901311249137336,0.05986887508626637,2023-02-24
2662572_1,2023-02-24 19:00:00,Volos NFC,Lamia,"H/D&M3,5",1.554,0.7,0.6435006435006435,0.056499356499356446,2023-02-24
2659571_1,2023-02-24 18:30:00,Karlsruhe,Jahn Regensburg,"H/A&P1,5",1.5435,0.7,0.647878198898607,0.05212180110139297,2023-02-24
2670306_1,2023-02-24 20:00:00,Sp. Rotterdam,FC Utrecht,H,2.6145000000000005,0.55,0.3824823101931535,0.16751768980684656,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/A&P2,5",2.2995,0.6,0.4348771472059143,0.16512285279408567,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/D&P2,5",2.961,0.5,0.33772374197906113,0.16227625802093887,2023-02-24
2659804_1,2023-02-24 20:30:00,LASK,A. Lustenau,"D/A&P1,5",2.8875,0.5,0.3463203463203463,0.1536796536796537,2023-02-24
2659804_1,2023-02-24 20:30:00,LASK,A. Lustenau,D/A,2.7825,0.5,0.35938903863432164,0.14061096136567836,2023-02-24
2632566_1,2023-02-24 19:00:00,FC Nordsjaelland,Odense Boldklub,"D/A&P1,5",2.457,0.5416666666666666,0.407000407000407,0.1346662596662596,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,H,2.3835,0.55,0.4195510803440319,0.13044891965596817,2023-02-24
2632566_1,2023-02-24 19:00:00,FC Nordsjaelland,Odense Boldklub,D/A,2.0895,0.6041666666666666,0.4785833931562574,0.1255832735104092,2023-02-24
2652896_1,2023-02-24 19:30:00,UTA Arad,FC Farul Constanta,"D/A&P1,5",1.9005,0.65,0.5261773217574323,0.12382267824256776,2023-02-24
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,H,2.016,0.6000000000000001,0.49603174603174605,0.10396825396825404,2023-02-24
2652896_1,2023-02-24 19:30:00,UTA Arad,FC Farul Constanta,"H/D&P1,5",2.2260000000000004,0.55,0.44923629829290196,0.10076370170709809,2023-02-24
2670306_1,2023-02-24 20:00:00,Sp. Rotterdam,FC Utrecht,"H/D&P1,5",1.8165,0.6499999999999999,0.5505092210294522,0.0994907789705477,2023-02-24
2652896_1,2023-02-24 19:30:00,UTA Arad,FC Farul Constanta,"H/A&P2,5",2.4779999999999998,0.5,0.4035512510088782,0.09644874899112182,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/D&P1,5",1.806,0.6499999999999999,0.5537098560354374,0.09629014396456248,2023-02-24
2659573_1,2023-02-24 18:30:00,Dusseldorf,Braunschweig,"H/D&P2,5",1.9845,0.6,0.5039052658100277,0.09609473418997228,2023-02-24
2634371_1,2023-02-24 21:00:00,Fulham,Wolverhampton,"H/A&P1,5",1.785,0.6499999999999999,0.5602240896358543,0.08977591036414556,2023-02-24
