IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,n,DateD,Week
2634444_1,2023-03-10 20:30:00,Cologne,Bochum,"H/D&P2,5",2.1945,0.6022727272727273,0.45568466621098197,1.3216875000000001,22.0,2023-03-10,2023W10
2634444_1,2023-03-10 20:30:00,Cologne,Bochum,"H/A&P2,5",2.0265,0.6477272727272727,0.4934616333580064,1.3126193181818182,22.0,2023-03-10,2023W10
2640665_1,2023-03-10 21:00:00,Stoke City,Blackburn,H/A&LDEMP,1.9949999999999999,0.6568627450980392,0.5012531328320803,1.310441176470588,34.0,2023-03-10,2023W10
2690584_1,2023-03-10 19:30:00,Craiova,UTA Arad,"H/D&M3,5",1.4595,0.8214285714285714,0.6851661527920521,1.198875,28.0,2023-03-10,2023W10
2696495_1,2023-03-10 19:00:00,Odense Boldklub,AaB,H/A&LDEM,2.3729999999999998,0.5,0.4214075010535188,1.1864999999999999,20.0,2023-03-10,2023W10
2634444_1,2023-03-10 20:30:00,Cologne,Bochum,"H/A&P1,5",1.596,0.7348484848484849,0.6265664160401002,1.172818181818182,22.0,2023-03-10,2023W10
2660439_1,2023-03-10 21:15:00,FC Porto,Estoril,"M2,5",2.12,0.553030303030303,0.4716981132075471,1.1724242424242424,22.0,2023-03-10,2023W10
2662045_1,2023-03-10 21:00:00,Cádiz,Getafe,"H/D&P1,5",2.205,0.5227272727272727,0.4535147392290249,1.1526136363636363,24.0,2023-03-10,2023W10
2634444_1,2023-03-10 20:30:00,Cologne,Bochum,"P2,5",1.77,0.6477272727272727,0.5649717514124294,1.1464772727272727,22.0,2023-03-10,2023W10
2634444_1,2023-03-10 20:30:00,Cologne,Bochum,H,1.66,0.6856060606060606,0.6024096385542169,1.1381060606060605,22.0,2023-03-10,2023W10
2640665_1,2023-03-10 21:00:00,Stoke City,Blackburn,LDEMP,1.65,0.6862745098039216,0.6060606060606061,1.1323529411764706,34.0,2023-03-10,2023W10
2690584_1,2023-03-10 19:30:00,Craiova,UTA Arad,"H/A&M3,5",1.554,0.7142857142857143,0.6435006435006435,1.11,28.0,2023-03-10,2023W10
2640665_1,2023-03-10 21:00:00,Stoke City,Blackburn,"H/A&M4,5",1.3860000000000001,0.7990196078431373,0.7215007215007214,1.1074411764705885,34.0,2023-03-10,2023W10
2660439_1,2023-03-10 21:15:00,FC Porto,Estoril,"H/A&M3,5",1.7010000000000003,0.6477272727272727,0.5878894767783656,1.101784090909091,22.0,2023-03-10,2023W10
