Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs,DALDEMs,DHLDEMs,HALDEMs,DALDEMPs,DHLDEMPs,HALDEMPs,DateSort
2023-02-26,Tottenham Hotspur,2 - 0,Chelsea,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Tottenham Hotspur,2 - 0,Chelsea,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-25,Leicester City,0 - 1,Arsenal,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Stoke City,0 - 1,Millwall,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Preston North End,2 - 1,Wigan Athletic,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Preston North End,2 - 1,Wigan Athletic,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Leeds United,1 - 0,Southampton,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Queens Park Rangers,1 - 3,Blackburn Rovers,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,West Ham United,4 - 0,Nottingham Forest,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Birmingham City,0 - 1,Luton Town,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Bristol City,1 - 0,Hull City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Everton,0 - 2,Aston Villa,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Norwich City,2 - 0,Cardiff City,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Reading,3 - 1,Blackpool,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Crystal Palace,0 - 0,Liverpool,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-25
2023-02-25,Sheffield United,1 - 0,Watford,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Bristol City,1 - 0,Hull City,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,AFC Bournemouth,1 - 4,Manchester City,1,4,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,Coventry City,2 - 1,Sunderland,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Queens Park Rangers,1 - 3,Blackburn Rovers,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,AFC Bournemouth,1 - 4,Manchester City,1,4,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,Coventry City,2 - 1,Sunderland,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Norwich City,2 - 0,Cardiff City,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Stoke City,0 - 1,Millwall,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Reading,3 - 1,Blackpool,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,West Bromwich Albion,2 - 0,Middlesbrough,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,West Bromwich Albion,2 - 0,Middlesbrough,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Burnley,4 - 0,Huddersfield Town,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Crystal Palace,0 - 0,Liverpool,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-25
2023-02-25,Leeds United,1 - 0,Southampton,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Burnley,4 - 0,Huddersfield Town,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Leicester City,0 - 1,Arsenal,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Everton,0 - 2,Aston Villa,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Sheffield United,1 - 0,Watford,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,West Ham United,4 - 0,Nottingham Forest,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Birmingham City,0 - 1,Luton Town,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-24,Fulham,1 - 1,Wolverhampton Wanderers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-24
2023-02-24,Fulham,1 - 1,Wolverhampton Wanderers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-24
2023-02-21,Blackburn Rovers,1 - 0,Blackpool,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-21
