n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2772572_1,2023-05-27 15:30:00,RB Leipzig,Schalke 04,"D/A&M3,5",5.0925,0.35,0.19636720667648502,1.7823749999999998,2023-05-27,2023W21
10.0,2729068_1,2023-05-27 15:30:00,Cologne,Bayern Munich,"H/D&P4,5",11.76,0.15000000000000002,0.08503401360544217,1.7640000000000002,2023-05-27,2023W21
10.0,2795864_1,2023-05-28 16:30:00,Portimonense,Arouca,"P5,5",17.5,0.1,0.05714285714285714,1.7500000000000002,2023-05-28,2023W21
10.0,2772577_1,2023-05-27 15:30:00,Bochum,Bayer Leverkusen,"H/D&M1,5",8.6625,0.2,0.11544011544011544,1.7325000000000002,2023-05-27,2023W21
10.0,2797825_1,2023-05-27 15:00:00,Lazio,Cremonese,D/A&LDEM,4.5675,0.37727272727272726,0.21893814997263272,1.7231931818181818,2023-05-27,2023W21
10.0,2729068_1,2023-05-27 15:30:00,Cologne,Bayern Munich,"D/A&M2,5",3.801,0.44999999999999996,0.26308866087871613,1.7104499999999998,2023-05-27,2023W21
10.0,2793600_1,2023-05-27 21:00:00,Lille,Nantes,D,4.85,0.35,0.2061855670103093,1.6974999999999998,2023-05-27,2023W21
10.0,2797825_1,2023-05-27 15:00:00,Lazio,Cremonese,"D/A&P1,5",3.9375,0.42727272727272725,0.25396825396825395,1.6823863636363636,2023-05-27,2023W21
10.0,2797825_1,2023-05-27 15:00:00,Lazio,Cremonese,"D/A&P4,5",36.75,0.045454545454545456,0.027210884353741496,1.6704545454545456,2023-05-27,2023W21
10.0,2813053_1,2023-05-27 21:00:00,Marseille,Brest,"D/A&P3,5",11.025,0.15000000000000002,0.09070294784580499,1.6537500000000003,2023-05-27,2023W21
10.0,2797827_1,2023-05-27 15:00:00,Salernitana,Udinese,H/D&LDEMP,3.5175,0.46818181818181814,0.2842928216062544,1.6468295454545454,2023-05-27,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P3,5",8.19,0.2,0.12210012210012211,1.638,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"P5,5",8.5,0.19090909090909092,0.11764705882352941,1.6227272727272728,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P2,5",5.407500000000001,0.30000000000000004,0.18492834026814609,1.6222500000000004,2023-05-22,2023W21
10.0,2823451_1,2023-05-25 20:30:00,Grasshoppers,St Gallen,"H/D&M1,5",5.407500000000001,0.30000000000000004,0.18492834026814609,1.6222500000000004,2023-05-25,2023W21
10.0,2772573_1,2023-05-27 15:30:00,Union Berlin,Werder Breme,"M0,5",10.8,0.15,0.09259259259259259,1.62,2023-05-27,2023W21
10.0,2774257_1,2023-05-28 14:30:00,FC Volendam,Excelsior,"M0,5",16.2,0.1,0.0617283950617284,1.62,2023-05-28,2023W21
10.0,2793600_1,2023-05-27 21:00:00,Lille,Nantes,"D/A&M1,5",8.085,0.2,0.12368583797155225,1.6170000000000002,2023-05-27,2023W21
10.0,2772572_1,2023-05-27 15:30:00,RB Leipzig,Schalke 04,A,8.05,0.2,0.12422360248447203,1.6100000000000003,2023-05-27,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,"D/A&M4,5",2.2785,0.7,0.4388852315119596,1.59495,2023-05-27,2023W21
10.0,2797825_1,2023-05-27 15:00:00,Lazio,Cremonese,"D/A&P2,5",8.295,0.19090909090909092,0.12055455093429777,1.583590909090909,2023-05-27,2023W21
10.0,2694118_1,2023-05-24 19:30:00,Villarreal,Cadiz,"H/A&M1,5",5.25,0.3,0.19047619047619047,1.575,2023-05-24,2023W21
10.0,2797827_1,2023-05-27 15:00:00,Salernitana,Udinese,H/A&LDEMP,2.3729999999999998,0.6636363636363636,0.4214075010535188,1.5748090909090906,2023-05-27,2023W21
