n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H,5.05,0.45,0.19801980198019803,2.2725,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P3,5",8.19,0.2,0.12210012210012211,1.638,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"P5,5",8.5,0.19090909090909092,0.11764705882352941,1.6227272727272728,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P2,5",5.407500000000001,0.30000000000000004,0.18492834026814609,1.6222500000000004,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/A&M1,5",4.41,0.35,0.22675736961451246,1.5435,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/A&M2,5",2.7300000000000004,0.55,0.3663003663003662,1.5015000000000005,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"D/A&M2,5",4.83,0.30000000000000004,0.20703933747412007,1.4490000000000003,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H/A&LDEMP,2.079,0.6499999999999999,0.481000481000481,1.3513499999999998,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,D/A&LDEMP,5.670000000000001,0.2318181818181818,0.17636684303350966,1.314409090909091,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,D/A&LDEMP,8.6625,0.15,0.11544011544011544,1.299375,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,H,2.68,0.4818181818181818,0.3731343283582089,1.2912727272727273,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/A&M3,5",1.7115,0.75,0.5842827928717499,1.283625,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"H/D&P3,5",2.709,0.4727272727272727,0.36913990402362495,1.2806181818181819,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"D/A&P3,5",7.035,0.18181818181818182,0.1421464108031272,1.2790909090909093,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,D,3.9,0.32727272727272727,0.25641025641025644,1.2763636363636361,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H/D,2.05,0.6,0.48780487804878053,1.2299999999999998,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"P3,5",2.36,0.5181818181818182,0.42372881355932207,1.2229090909090907,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H/D&LDEMP,4.83,0.25,0.20703933747412007,1.2075,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"D/A&M3,5",3.9899999999999998,0.30000000000000004,0.25062656641604014,1.197,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,LDEM,1.64,0.7181818181818183,0.6097560975609756,1.1778181818181819,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&M1,5",5.88,0.2,0.17006802721088435,1.1760000000000002,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"M2,5",2.35,0.5,0.425531914893617,1.175,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/A&M4,5",1.4489999999999998,0.8,0.6901311249137336,1.1592,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"D/A&M2,5",3.465,0.3318181818181818,0.28860028860028863,1.1497499999999998,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&M4,5",2.0895,0.55,0.4785833931562574,1.1492250000000002,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H/D&LDEM,3.2760000000000002,0.35,0.3052503052503052,1.1466,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,LDEMP,1.76,0.6499999999999999,0.5681818181818182,1.1439999999999997,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,D/A,2.21,0.5136363636363637,0.45248868778280543,1.1351363636363636,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"H/D&P4,5",4.6725,0.2409090909090909,0.2140181915462814,1.1256477272727274,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P1,5",2.8140000000000005,0.4,0.355366027007818,1.1256000000000002,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/D&P1,5",1.9635000000000002,0.5727272727272728,0.5092946269416857,1.1245500000000002,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/A&M1,5",3.9899999999999998,0.28181818181818186,0.25062656641604014,1.1244545454545454,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,H/D,1.47,0.7636363636363637,0.6802721088435374,1.1225454545454547,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"H/D&M3,5",1.848,0.6,0.5411255411255411,1.1088,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/D&M2,5",2.3415,0.4727272727272727,0.42707666026051677,1.1068909090909091,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"M3,5",1.55,0.7,0.6451612903225806,1.085,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"H/D&M2,5",2.709,0.4,0.36913990402362495,1.0836000000000001,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"H/A&P3,5",2.8350000000000004,0.38181818181818183,0.3527336860670193,1.0824545454545458,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,A,7.2,0.15000000000000002,0.1388888888888889,1.08,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"M1,5",3.08,0.35,0.3246753246753247,1.0779999999999998,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"H/D&P4,5",21.525000000000002,0.05,0.04645760743321718,1.0762500000000002,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"H/D&P2,5",1.8585,0.5727272727272728,0.5380683346785041,1.0644136363636365,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/D&M3,5",1.8690000000000002,0.5681818181818181,0.5350454788657035,1.0619318181818183,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"M2,5",1.76,0.6,0.5681818181818182,1.0559999999999998,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/D&P4,5",11.025,0.09545454545454546,0.09070294784580499,1.0523863636363637,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"D/A&M4,5",2.2470000000000003,0.46818181818181814,0.4450378282153982,1.0520045454545455,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,D,5.25,0.2,0.19047619047619047,1.05,2023-05-22,2023W21
10.0,2787031_1,2023-05-22 19:00:00,FC Nordsjaelland,Randers,"H/D&P1,5",1.3650000000000002,0.7681818181818182,0.7326007326007324,1.048568181818182,2023-05-22,2023W21
10.0,2801380_1,2023-05-22 21:00:00,Newcastle,Leicester,"D/A&P4,5",20.790000000000003,0.05,0.048100048100048094,1.0395,2023-05-22,2023W21
10.0,2760353_1,2023-05-22 19:30:00,Rapid Bucuresti,Craiova,"H/D&M4,5",1.554,0.6681818181818182,0.6435006435006435,1.0383545454545455,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"M4,5",1.09,0.95,0.9174311926605504,1.0355,2023-05-22,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,"P0,5",1.03,1.0,0.970873786407767,1.03,2023-05-22,2023W21
